"Auteur";"Identifiant auteur";"Titre";"Directeur de these";"Directeur de these (nom prenom)";"Identifiant directeur";"Etablissement de soutenance";"Identifiant etablissement";"Discipline";"Statut";"Date de premiere inscription en doctorat";"Date de soutenance";"Langue de la these";"Identifiant de la these";"Accessible en ligne";"Publication dans theses.fr";"Mise a jour dans theses.fr";
Samir El Ouaamari;176000607;Paysanneries amères au berceau de l’or brun : développement caféier et dislocation des sociétés paysannes dans le sud-ouest éthiopien;Hubert Cochet;Cochet Hubert;029906423;Paris 10;026403587;Géographie;soutenue;;01-01-2013;fr;2013PA100211;non;26-09-2011;28-03-2014;
Soda Loum;185077633;Gouvernance de l'eau en région semi-aride : gestion technocratique ou politique sociale ? Le cas du delta du fleuve Sénégal;Michel Lesourd;Lesourd Michel;03432738X;Rouen;026403919;Géographie;soutenue;;01-01-2015;fr;2015ROUEL004;non;26-09-2011;20-04-2015;
Irina Pavlova;168800918;Debris flow activity response to future climate change in the French Alps;Vincent Jomelli,Olǵa Solomina;Jomelli Vincent,Solomina Olǵa;164486429,082567433;Paris 1;027361802;Géographie;soutenue;;01-01-2013;en;2013PA010530;non;26-09-2011;06-04-2016;
Daniel Castillo Brieva;175334919;Arrangements institutionnels et modèles mentaux dans la gestion des ressources en bien commun;François Bousquet;Bousquet François;074747835;Paris 10;026403587;Géographie;soutenue;;01-01-2013;en;2013PA100022;non;10-01-2014;09-01-2014;
Mélinda Molnár;168964066;Les rapports à la nature et les modes d'habiter à travers les jardins ouvriers et familiaux en France et en Hongrie, analyse et comparaison;Yves Luginbühl;Luginbühl Yves;029871751;Paris 1;027361802;Géographie;soutenue;;01-01-2013;fr;2013PA010524;non;15-04-2014;14-04-2014;
Sébastien Preuil;188040544;La mise en tourisme du patrimoine khmer de la province de Siem Reap au Cambodge : aide à la lutte contre la pauvreté ou facteur de paupérisation?;Frédéric Leriche,Manuelle Franck;Leriche Frédéric,Franck Manuelle;057866422,033635293;Versailles-St Quentin en Yvelines;03082057X;Géographie;soutenue;;01-01-2014;fr;2014VERS024S;non;04-09-2015;12-04-2016;
Adama Ball;175318832;Elections et gouvernance locale au Sénégal : le cas de l'agglomération dakaroise;Michel Bussi,Michel Lesourd;Bussi Michel,Lesourd Michel;035502339,03432738X;Rouen;026403919;Géographie;soutenue;;01-01-2013;fr;2013ROUEL016;non;13-10-2015;14-12-2015;
Marion Sabrie;18814272X;Le fleuve Irrawaddy, facteur d'intégration de la Birmanie ?;Muriel Charras,Rodolphe de Koninck;Charras Muriel,Koninck Rodolphe de;080217133,028186761;Paris, EHESS;026374889;Géographie;soutenue;;01-01-2015;fr;2015EHES0061;non;09-09-2015;08-09-2015;
Johan Andrés Avendaño Arias;197341241;Representaciones territoriales de inseguridad, delincuencia y miedo en el espacio urbano de Bogotá : formas simbólicas de apropiación y vivencialidad de la ciudad;Alain Musset;Musset Alain;027043320;Paris, EHESS;026374889;Géographie;soutenue;;01-01-2016;fr;2016EHES0079;non;02-03-2012;23-12-2016;
Amanda Andrade-Benítez;198353219;Géopolitique des relations d'intégration entre la Colombie et le Venezuela : enjeux historiques binationaux, construction des territoires et rapports entre sociétés locales;Alain Musset;Musset Alain;027043320;Paris, EHESS;026374889;Géographie;soutenue;;01-01-2016;fr;2016EHES0132;non;18-02-2017;17-02-2017;
Eleni Panagouli;197351468;La rencontre de la ville et de la forêt : l'action publique et les territoires de la nature en Grèce;Augustin Berque;Berque Augustin;026723220;Paris, EHESS;026374889;Géographie;soutenue;;01-01-2016;fr;2016EHES0090;non;26-09-2011;26-04-2017;
Sandrine Gilles;198599625;L'exploitation aurifère au Burkina Faso : Territorialité et gouvernance;Michel Lesourd;Lesourd Michel;03432738X;Rouen;026403919;Géographie;soutenue;;01-01-2016;fr;2016ROUEL031;non;28-02-2017;06-05-2017;
